"source","target"
"AC004943.1","MIR4539"
"AC004943.1","MIR4677"
"AC004943.1","MIR4701"
"AC004943.1","MIR491"
"AC004943.1","MIR503"
"AC004943.1","MIR548AR"
"AC004943.1","MIR616"
"AC004943.1","MIR641"
"AC004943.1","MIR642A"
"AC004943.1","MIR661"
"AC004943.1","MIR663B"
"AC004943.1","MIR6757"
"AC004943.1","MIR93"
"AC004943.1","MT-TK"
"AC004943.1","MT-TM"
"AC004943.1","PPBP"
"AC004943.1","RNA5SP108"
"AC004943.1","RNA5SP283"
"AC004943.1","RNA5SP298"
"AC004943.1","RNA5SP333"
"AC004943.1","RNA5SP334"
"AC004943.1","RNA5SP69"
"AC004943.1","RNU1-72P"
"AC004943.1","RNU6-1053P"
"AC004943.1","RNU6-1095P"
"AC004943.1","RNU6-1161P"
"AC004943.1","RNU6-118P"
"AC004943.1","RNU6-1206P"
"AC004943.1","RNU6-130P"
"AC004943.1","RNU6-199P"
"AC004943.1","RNU6-216P"
"AC004943.1","RNU6-277P"
"AC004943.1","RNU6-312P"
"AC004943.1","RNU6-341P"
"AC004943.1","RNU6-510P"
"AC004943.1","RNU6-548P"
"AC004943.1","RNU6-564P"
"AC004943.1","RNU6-638P"
"AC004943.1","RNU6-63P"
"AC004943.1","RNY1P11"
"AC004943.1","RNY4P25"
"AC004943.1","RP11-345J4.6"
"AC004943.1","RP11-434C1.2"
"AC004943.1","RP11-44K6.2"
"AC004943.1","RP11-625L16.3"
"AC004943.1","RP11-87N24.3"
"AC004943.1","RP13-766D20.1"
"AC004943.1","RPL39P3"
"AC004943.1","SAA2-SAA4"
"AC004943.1","SAA4"
"AC004943.1","SERPINB3"
"AC004943.1","SERPINB4"
"AC004943.1","SLCO1B3"
"AC004943.1","SNORA14"
"AC004943.1","SNORA26"
"AC004943.1","SNORA63"
"AC004943.1","SNORD12B"
"AC004943.1","SNORD14A"
"AC004943.1","SNORD14E"
"AC004943.1","SNORD19"
"AC004943.1","SNORD60"
"AC004943.1","SNORD67"
"AC004943.1","SNORD6"
"AC004943.1","SNORD78"
"AC004943.1","SNORD89"
"AC004943.1","SNORD99"
"AC004943.1","SPRR1A"
"AC004943.1","SPRR1B"
"AC004943.1","SPRR2A"
"AC004943.1","SPRR2D"
"AC004943.1","SPRR3"
"AC004943.1","TRBJ1-4"
"AC004943.1","TRBJ1-5"
