"source","target"
"ABCC1","CDH11"
"ABCC1","CDH5"
"ABCC1","CEP164"
"ABCC1","CMTR1"
"ABCC1","COL5A2"
"ABCC1","CSGALNACT2"
"ABCC1","CTB-89H12.4"
"ABCC1","DDHD1"
"ABCC1","DENND3"
"ABCC1","DENND4B"
"ABCC1","DSE"
"ABCC1","EDEM1"
"ABCC1","EDRF1"
"ABCC1","ELK3"
"ABCC1","ENTPD1"
"ABCC1","EP400NL"
"ABCC1","F2R"
"ABCC1","FAM219A"
"ABCC1","FAM49A"
"ABCC1","FBXW7"
"ABCC1","FGD2"
"ABCC1","FMNL2"
"ABCC1","FNBP4"
"ABCC1","GLCCI1"
"ABCC1","GOLGA8B"
"ABCC1","GPCPD1"
"ABCC1","GSAP"
"ABCC1","HIF1A"
"ABCC1","HNRNPH1"
"ABCC1","IL10RA"
"ABCC1","IL18R1"
"ABCC1","IL1R1"
"ABCC1","INPP4A"
"ABCC1","IRAK3"
"ABCC1","KDR"
"ABCC1","KIRREL"
"ABCC1","KLHL29"
"ABCC1","KLHL5"
"ABCC1","LIMK1"
"ABCC1","LRRC8C"
"ABCC1","LRRK2"
"ABCC1","MACF1"
"ABCC1","MAP3K3"
"ABCC1","MAP3K8"
"ABCC1","METTL3"
"ABCC1","MLLT11"
"ABCC1","MMP25-AS1"
"ABCC1","MSL3"
"ABCC1","MYO1F"
"ABCC1","NBPF8"
"ABCC1","NFYC-AS1"
"ABCC1","NID1"
"ABCC1","NUP210"
"ABCC1","OGT"
"ABCC1","OSBPL3"
"ABCC1","OSMR"
"ABCC1","PBX2"
"ABCC1","PDK1"
"ABCC1","PECAM1"
"ABCC1","PHC1"
"ABCC1","PIAS3"
"ABCC1","PIK3R3"
"ABCC1","PIK3R5"
"ABCC1","PLXNA1"
"ABCC1","PNN"
"ABCC1","PPWD1"
"ABCC1","PRPF38B"
"ABCC1","PTPN22"
"ABCC1","QSOX2"
"ABCC1","RBM17"
"ABCC1","RBM25"
"ABCC1","RBM26"
"ABCC1","RBM39"
"ABCC1","RBMS1"
"ABCC1","RHBDF2"
"ABCC1","RHOQ"
"ABCC1","RNF213"
"ABCC1","RNF24"
"ABCC1","RP11-22B23.1"
"ABCC1","RP11-415J8.3"
"ABCC1","RP5-1142A6.9"
"ABCC1","SAMHD1"
"ABCC1","SEMA4C"
"ABCC1","SF3B1"
"ABCC1","SFMBT2"
"ABCC1","SGTB"
"ABCC1","SHANK3"
"ABCC1","SIN3B"
"ABCC1","SLC25A37"
"ABCC1","SLC41A1"
"ABCC1","SLC6A6"
"ABCC1","SLC7A6"
"ABCC1","SLFN11"
"ABCC1","SP140L"
"ABCC1","ST3GAL1"
"ABCC1","STAT2"
"ABCC1","STAT5B"
"ABCC1","STX16"
"ABCC1","SYVN1"
"ABCC1","TFE3"
"ABCC1","TMEM106A"
"ABCC1","TMEM39A"
"ABCC1","TRAF5"
"ABCC1","TRAM2"
"ABCC1","TRIM22"
"ABCC1","TTYH3"
"ABCC1","USP35"
"ABCC1","VPS13C"
"ABCC1","WNT5A"
"ABCC1","ZBTB40"
"ABCC1","ZDHHC8"
"ABCC1","ZEB1"
"ABCC1","ZMIZ2"
"ABCC1","ZNF335"
"ABCC1","ZNF512B"
"ABCC5","ACIN1"
"ABCC5","ARGLU1"
"ABCC5","CLCN6"
"ABCC5","CLK2"
"ABCC5","CLUHP3"
"ABCC5","CREBZF"
"ABCC5","CTB-89H12.4"
"ABCC5","DMTF1"
"ABCC5","EP400NL"
"ABCC5","GOLGA8A"
"ABCC5","GRIPAP1"
"ABCC5","HNRNPH1"
"ABCC5","KIAA0907"
"ABCC5","OGT"
"ABCC5","PLEKHM1P"
"ABCC5","PNN"
"ABCC5","RBM25"
"ABCC5","RBM39"
"ABCC5","RP11-488L18.4"
"ABCC5","RP13-104F24.2"
"ABCC5","SRSF11"
"ABCC5","TIA1"
"ABCC5","ZFC3H1"
"ABCC5","ZMIZ2"
"ABCC5","ZRANB2"
"ABCD2","ITGA4"
"ABCD2","MR1"
"ABCD2","RASGRP1"
"ABCD2","SLFN5"
"ABCD2","ST8SIA4"
"ABCD3","ABHD17C"
"ABCD3","AFG3L2"
"ABCD3","AHCYL2"
"ABCD3","ANO10"
